province;red;green;blue;x;x
836;227;177;28;;Fields of Nefer
837;234;68;60;;Embonor
838;203;197;69;;Leviathan Sound
839;193;84;79;;Howling Point
840;198;160;72;;Howling Bay
841;247;183;207;;Howling Hills
842;240;90;26;;Eastern Steel Road
843;200;164;55;;Northern Great Sand Sea
844;162;164;91;;Great Sand Road
845;152;209;46;;Southern Great Sand Sea
846;177;138;95;;North Trader Road
847;200;223;32;;Trader Town
848;247;217;9;;South Trader Road
849;228;106;65;;The Shrinking Sea
850;252;247;18;;Affazhat
851;210;133;62;;Akkovarat
852;245;109;10;;Qemmosor
853;220;248;22;;Ithkoil
854;185;151;87;;Drekat
855;251;179;204;;The Bleeding Shore
856;214;163;105;;Chomokh
857;253;182;17;;Feshith
858;245;72;48;;Halashir
859;206;240;15;;Kazga
860;108;169;41;;Athzalar
861;254;175;235;;Melikh
862;90;208;51;;Lanqoyi
863;190;211;44;;Moskat
864;226;128;29;;Nesolat
865;225;88;30;;Yothnhare
866;232;201;23;;Zanisshi
867;109;219;36;;Ramasar
868;247;151;9;;Qeso
869;191;64;86;;Oholat
870;209;62;46;;Hrazeffer
871;193;247;9;;Fatilat
872;205;196;50;;Veltor
873;232;98;34;;Athniqar
874;197;123;69;;Kolverikh
875;168;69;36;;Qosarven
876;230;46;36;;Chafaan
877;5;200;200;;Old Anchor Bay
878;6;200;250;;Central Narrow Sea #4
879;7;220;250;;Shivering Sea #4
880;8;250;250;;Frozen Lakes
881;9;200;200;;Long Lake
882;10;200;250;;Torrhen Lake
883;11;220;250;;Rills Lakes
884;12;250;250;;Gods Eye
885;13;200;200;;Red Lake
886;17;200;200;;Eastern Sunset Sea #1
887;18;200;250;;Eastern Sunset Sea #2
888;19;220;250;;Southern Sunset Sea #1
889;20;250;250;;Western Dornish Coast
890;21;200;200;;Eastern Dornish Coast
891;22;200;250;;Arbor Coast
892;23;220;250;;Torendine Gulf
893;24;250;250;;Redwyne Straits
894;25;200;200;;Central Sunset Sea #2
895;26;200;250;;Whispering Sound
896;27;220;250;;Garden Coast
897;28;250;250;;Shield Sea
898;29;200;200;;Central Sunset Sea #3
899;30;200;250;;Coast of the Reach
900;31;220;250;;Gulf of Lannisport
901;32;250;250;;Central Sunset Sea #4
902;33;200;200;;Central Sunset Sea #5
903;34;200;250;;Cape Feast
904;35;220;250;;Fair Sea
905;36;250;250;;Central Sunset Sea #6
906;37;200;200;;Northern Sunset Sea #1
907;38;200;250;;Northern Sunset Sea #2
908;39;220;250;;Northern Sunset Sea #3
909;40;250;250;;Northern Sunset Sea #4
910;41;200;200;;Northern Sunset Sea #5
911;42;200;250;;Western Iron Islands
912;43;220;250;;Eastern Iron Islands
913;44;250;250;;Ironmans Bay
914;45;200;200;;Gulf of The Neck
915;46;200;250;;Cape Kracken
916;47;220;250;;Blazewater Bay
917;48;250;250;;Stoney Coast
918;49;200;200;;Dragon Cape
919;50;200;250;;Western Bay of Ice
920;51;220;250;;Frozen Sea
921;52;250;250;;Northern Sunset Sea #6
922;53;200;200;;Broken Sea
923;54;200;250;;Western Stepstones
924;55;220;250;;Sea of Estermont
925;56;250;250;;Eastern Sea of Dorne
926;57;200;200;;Cape of Rains
927;59;220;250;;Shipbreaker Bay
928;60;250;250;;Emerald Sea
929;61;200;200;;Masseys Hook
930;63;220;250;;The Gullet
931;64;250;250;;Eastern Blackwater Bay
932;65;200;200;;Western Blackwater Bay
933;66;200;250;;Dragonstone Sea
934;67;220;250;;Claw Cape
935;68;250;250;;Eastern Bay of Crabs
936;69;200;200;;Western Bay of Crabs
937;71;220;250;;Cape of Runes
938;72;250;250;;Coast of the Vale
939;73;200;200;;Southern Finger
940;74;200;250;;Central Fingers
941;75;220;250;;Northern Fingers
942;76;250;250;;Eastern Bite
943;77;200;200;;Western Bite
944;78;200;250;;White Bay
945;80;250;250;;Central Narrow Sea #4
946;81;200;200;;Northern Narrow Sea #1
947;82;200;250;;Rams Coast
948;83;220;250;;Widows Cape
949;84;250;250;;Sea of Sorrow
950;85;200;200;;Gulf of Kar
951;86;200;250;;Northern Narrow Sea #2
952;87;220;250;;Northern Narrow Sea #3
953;88;250;250;;Southern Bay of Seals
954;89;200;200;;Northern Bay of Seals
955;90;200;250;;Shivering Sea #1
956;91;220;250;;Shivering Sea #2
957;92;250;250;;Shivering Sea #3
958;93;200;200;;Lower Mander
959;94;200;250;;Greenblood River
960;1;200;200;;Eastern Bay of Ice
961;2;200;250;;Saltspear
962;3;220;250;;Central Sunset Sea #1
963;95;220;250;;Eastern Stepstones
964;96;250;250;;Tyroshi Coast
965;97;200;200;;Western Sea of Myrth
966;98;200;250;;Flatlands Coast
967;99;220;250;;Bay of Pentos
968;100;250;250;;Southern Coast of Andalos
969;101;200;200;;Northern Coast of Andalos
970;102;200;250;;Bravoosian Coast
971;103;220;250;;Cape of Braavos
972;104;250;250;;Northern Narrow Sea #4
973;105;200;200;;Lorath Bay
974;106;200;250;;Sea of Lorath
975;107;220;250;;Southwestern Shivering Sea #1
976;108;250;250;;Coast of Norvos
977;109;200;200;;Cape Axe
978;110;200;250;;Coast of Qohor
979;111;220;250;;Cape Morosh
980;112;250;250;;Gulf of Sarys
981;113;200;200;;Omber Sea
982;114;200;250;;Bay of Tusks
983;115;220;250;;Western Ifeqevron Sea
984;116;250;250;;Eastern Ifeqevron Sea
985;117;200;200;;Bay of Whales
986;118;200;250;;Coast of Jhogwin
987;119;220;250;;Southwestern Ibbenese Shore
988;120;250;250;;Northwestern Ibbenese Shore
989;121;200;200;;Northern Ibbenese Shore
990;122;200;250;;Eastern Ibbenese Shore
991;123;220;250;;Eastern Shivering Sea #1
992;124;250;250;;Southern Shivering Sea #1
993;125;200;200;;Southern Shivering Sea #2
994;126;200;250;;Southwestern Shivering Sea #2
995;127;220;250;;Central Shivering Sea #1
996;128;250;250;;Central Shivering Sea #2
997;129;200;200;;Central Shivering Sea #3
998;130;200;250;;Central Shivering Sea #4
999;131;220;250;;Central Shivering Sea #5
1000;132;250;250;;Eastern Shivering Sea #2
1001;133;200;200;;Eastern Sea of Myrth
1002;134;200;250;;Central Narrow Sea #2
1003;135;220;250;;Lysene Coast
1004;136;250;250;;Orange Sea
1005;137;200;200;;Gulf of Volantis
1006;138;200;250;;Rhoyne
1007;139;220;250;;Western Valyrian Sea
1008;140;250;250;;Valyrian Straits
1009;141;200;200;;Tyrian Straits
1010;142;200;250;;The Smoking Sea
1011;143;220;250;;Southern Valyrian Sea
1012;144;250;250;;Western Gulf of Grief
1013;145;200;200;;Eastern Gulf of Grief
1014;146;200;250;;Western Slaver's Bay
1015;147;220;250;;Eastern Slaver's Bay
1016;148;250;250;;Ghiscari Strait
1017;149;200;200;;Coast of Ghiscar
1018;150;200;250;;Crimson Sea
1019;151;220;250;;Jade Gates
1020;152;250;250;;Gulf of Asabhad
1021;153;200;200;;Northern Jade Sea
1022;154;200;250;;Central Jade Sea #1
1023;155;220;250;;Central Jade Sea #2
1024;156;250;250;;Cape Moraq
1025;157;200;200;;Southern Cinnamon Straits
1026;158;200;250;;Western Jade Sea #1
1027;159;220;250;;Northern Cinnamon Straits
1028;160;250;250;;Coast of Faros
1029;161;200;200;;Western Jade Sea #2
1030;162;200;250;;Western Jade Sea #3
1031;163;220;250;;Western Jade Sea #4
1032;164;250;250;;Cape Wyvern
1033;165;200;200;;Eastern Sothoryos Coast
1034;166;200;250;;Central Sothoryos Coast
1035;167;220;250;;Zamettar Delta
1036;168;250;250;;Gulf of Gogossos
1037;169;200;200;;Basilisk Straits
1038;170;200;250;;Eastern Sea of the Basilisk
1039;171;220;250;;Central Sea of the Basilisk
1040;172;250;250;;Western Sea of the Basilisk
1041;173;200;200;;Western Sothoryos Coast
1042;174;200;250;;Coast of Naath
1043;175;220;250;;Central Summer Sea #1
1044;176;250;250;;Central Summer Sea #2
1045;177;200;200;;Eastern Summer Sea #1
1046;178;200;250;;Eastern Summer Sea #2
1047;179;220;250;;Eastern Summer Sea #3
1048;180;250;250;;Central Summer Sea #3
1049;181;200;200;;Western Summer Sea #1
1050;182;200;250;;Western Summer Sea #2
1051;183;220;250;;Western Summer Sea #3
1052;184;250;250;;Stone Sea
1053;185;200;200;;Sea of Women
1054;186;200;250;;Lotus Coast
1055;187;220;250;;The Smiling Sea
1056;188;250;250;;Sea of Love
1057;189;200;200;;Indigo Straits
1058;190;200;250;;Straits of Moluu
1059;191;220;250;;Eastern Omboru Shore
1060;192;250;250;;Western Coast of Jhala
1061;193;200;200;;Parrot Bay
1062;194;200;250;;Golden Bay
1063;195;220;250;;Cape Lizard
1064;196;250;250;;Western Summer Sea #4
1065;197;200;200;;Eastern Coast of Jhala
1066;198;200;250;;Southern Summer Sea #1
1067;199;220;250;;Eastern Sunset Sea #3
1068;200;250;250;;The Singing Sea
1069;201;200;200;;Southeastern Sunset Sea #1
1070;202;200;250;;Southeastern Sunset Sea #2
1071;203;220;250;;Southeastern Sunset Sea #3
1072;204;250;250;;Southeastern Sunset Sea #4
1073;205;200;200;;Southern Sunset Sea #2
1074;206;200;250;;Southern Sunset Sea #3
1075;207;220;250;;Southern Sunset Sea #4
1076;208;250;250;;The Sea of Sighs
1077;209;200;200;;Womb of the World
1078;210;200;250;;Poison Sea
1079;211;220;250;;Dagger Lake
1080;212;250;250;;Darkwater
1081;213;200;200;;Noyne
1082;4;250;250;;Western Sea of Dorne
1083;0;223;248;;Mander
1084;20;223;248;;Upper Mander
1085;1;248;183;;Blackwater Rush
1086;2;183;248;;Upper Blackwater
1087;3;248;183;;God's River
1088;4;183;248;;The Trident
1089;5;248;183;;Blue Fork
1090;6;183;248;;Upper Blue Fork
1091;7;248;183;;Green Fork
1092;8;173;255;;Upper Green Fork
1093;9;248;183;;Red Fork
1094;10;173;255;;Upper Red Fork
1095;18;180;214;;Jade Coast
1096;151;236;227;;Sea of Whips
1097;5;226;204;;Jade Straits
1098;149;191;238;;Southern Jade Sea
1099;60;172;169;;Marahai Coast
1100;136;162;251;;Central Jade Sea
1101;154;186;233;;Coast of Yin
1102;133;226;254;;Straits of Leng
1103;91;174;164;;Bay of Leng
1104;148;175;239;;Eastern Coast of Leng
1105;138;224;249;;Coast of Jinqi
1106;151;189;236;;Shadow Coast
1107;155;227;232;;Southern Coast of Leng
1108;148;166;239;;Central Jade Sea
1109;152;208;235;;Manticore Sea
1110;157;157;230;;Central Jade Sea
1111;165;222;215;;Asshai'i Coast
1112;143;210;243;;Southern Jade Sea
1113;1;231;231;;Saffron Straits
1114;77;137;155;;Saffron Sea
1115;174;213;210;;Bay of Ulos
1116;145;184;242;;Howling Coast
1117;152;226;235;;Leviathan Sound
1118;174;182;213;;Western Thousand Islands
1119;47;113;221;;Eastern Thousand Islands
1120;139;239;248;;Bay of Nefer
1121;50;205;218;;Mosovny Coast
1122;155;226;232;;Eastern Shivering Sea
1123;88;180;177;;Eastern Shivering Sea
1124;79;181;189;;Eastern Shivering Sea
1125;150;206;237;;Eastern Shivering Sea
1126;167;191;220;;Eastern Shivering Sea
1127;165;219;222;;Hidden Sea
1128;171;209;216;;Bleeding Sea
1129;174;213;205;;Shrinking Sea
1130;140;219;242;;Silver Sea
1131;126;153;1;;Sunderland
1132;158;66;254;;Moreland
